,utterance_id,transcript_raw,response_transcript_raw,is_grammatical,labels,transcript_file,child_name,transcript_clean,response_transcript_clean,prev_transcript_clean
92,10,toy cutting grass .  1274828n,tyou're cutting the grass again ?  1275699n,False,"subject, auxiliary",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,toy cutting grass . 1274828n.,tyou're cutting the grass again ? 1275699n.,.
93,11,tno that bear has have enough .  1431065n,tthe bear has had enough ?  1432330n,False,tense_aspect,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,tno that bear has have enough . 1431065n.,tthe bear has had enough ? 1432330n.,.
94,12,tthe bear needs want get on the swing .  1582590n,tBethany wants to get on the swing ?  1584138n,False,sv_agreement,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,tthe bear needs want get on the swing . 1582590n.,tBethany wants to get on the swing ? 1584138n.,.
95,13,ta@p Beth say waawaa .  1602358n,tBethany said waawaa ?  1605137n,False,tense_aspect,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,Beth say waawaa . 1602358n.,tBethany said waawaa ? 1605137n.,.
96,14,tbecause bear say bang .  1609119n,tthe bear shouldn't say bang .  1611395n,False,determiner,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,tbecause bear say bang . 1609119n.,tthe bear shouldn't say bang . 1611395n.,.
97,15,tthose is wants to be cut .  1731378n,twhat wants to be cut ?  1733212n,False,other,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,tthose is wants to be cut . 1731378n.,twhat wants to be cut ? 1733212n.,.
98,16,tJess say no .  1813768n,tis Jess saying no ?  1815532n,False,"auxiliary, progressive",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,tJess say no . 1813768n.,tis Jess saying no ? 1815532n.,.
99,17,tand now it's time to pussy cat .  1945231n,tis it now time to do something with the pussy cat ?  1948006n,False,"verb, preposition",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,tand now it's time to pussy cat . 1945231n.,tis it now time to do something with the pussy cat ? 1948006n.,.
100,18,tfire station .  2452842n,tthe fire station ?  2453945n,False,determiner,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,tfire station . 2452842n.,tthe fire station ? 2453945n.,.
101,19,tI fire engine .  2563473n,tyou're a fire engine ?  2564216n,False,"verb, determiner",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,tI fire engine . 2563473n.,tyou're a fire engine ? 2564216n.,.
102,20,ta fire engine knocked all the all the signs off .  2647463n,twho has knocked all the signs off ?  2649622n,True,,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,ta fire engine knocked all the all the signs off . 2647463n.,twho has knocked all the signs off ? 2649622n.,.
103,21,tyou scared about it .  2696433n,tyou're scared ?  2697420n,False,auxiliary,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,tyou scared about it . 2696433n.,tyou're scared ? 2697420n.,.
104,22,twant a sweetie cheer my up .  2737851n,tyou want a sweetie to cheer my up ?  2739709n,False,"subject, preposition",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,twant a sweetie cheer my up . 2737851n.,tyou want a sweetie to cheer my up ? 2739709n.,.
105,23,tI follow you .  2751492n,tyou're following me ?  2752861n,False,"auxiliary, progressive",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,tI follow you . 2751492n.,tyou're following me ? 2752861n.,.
106,24,tyou're good to sharing .  2934581n,tI'm good at sharing ?  2936276n,False,preposition,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,tyou're good to sharing . 2934581n.,tI'm good at sharing ? 2936276n.,.
107,25,tsleep indoors .  3112390n,twho's sleeping indoors ?  3113900n,False,"subject, auxiliary, progressive",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,tsleep indoors . 3112390n.,twho's sleeping indoors ? 3113900n.,.
108,26,tI be scared .  3138233n,twould you be scared ?  3139835n,False,auxiliary,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,tI be scared . 3138233n.,twould you be scared ? 3139835n.,.
109,27,tI shout somebody pick me up and put me indoors .  3143771n,tyou'd shout somebody pick me up and put me indoors .  3147684n,False,auxiliary,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,tI shout somebody pick me up and put me indoors . 3143771n.,tyou'd shout somebody pick me up and put me indoors . 3147684n.,.
110,28,tcars is driving home .  3364446n,tthe car will drive them home .  3367175n,False,"determiner, plural",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,tcars is driving home . 3364446n.,tthe car will drive them home . 3367175n.,.
111,29,tof orange juice .  3545629n,tthe dog's having a drink of orange juice ?  3547231n,False,"subject, verb",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,tof orange juice . 3545629n.,tthe dog's having a drink of orange juice ? 3547231n.,.
112,30,tsome other orange juice .  3552266n,thas he got some more orange juice ?  3554275n,False,"subject, verb",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,tsome other orange juice . 3552266n.,thas he got some more orange juice ? 3554275n.,.
113,31,ta dog biscuit .  3560904n,tthe dog has got dog biscuits .  3563064n,False,"subject, verb",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,ta dog biscuit . 3560904n.,tthe dog has got dog biscuits . 3563064n.,.
114,32,tdon't know [= actually says dunno] .  3596239n,tyou don't know ?  3597214n,False,subject,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,tdon't know [= actually says dunno] . 3596239n.,tyou don't know ? 3597214n.,.
115,33,ta@p throwing water everywhere .  3622964n,tI think he's throwing water everywhere .  3624508n,False,"subject, auxiliary",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,throwing water everywhere . 3622964n.,tI think he's throwing water everywhere . 3624508n.,.
116,34,ta@p throwing water everywhere .  3622964n,tbecause you throw water everywhere don't you ?  3626191n,False,subject,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-3-01-15.annotated.cex,thomas,throwing water everywhere . 3622964n.,tbecause you throw water everywhere don't you ? 3626191n.,.
117,0,the dump all the chips out .  35903n,tyou want to dump all the chips out .  38312n,False,auxiliary,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,the dump all the chips out . 35903n.,tyou want to dump all the chips out . 38312n.,.
118,1,tlittle stars .  145681n,tare the prawn crackers like stars ?  148450n,False,"subject, verb",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,tlittle stars . 145681n.,tare the prawn crackers like stars ? 148450n.,.
119,2,tnice and warm .  200932n,tthey are nice and warm .  202190n,False,"subject, verb",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,tnice and warm . 200932n.,tthey are nice and warm . 202190n.,.
120,3,tsun shining .  280616n,toh the sun does keep shining .  282868n,False,"determiner, auxiliary",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,tsun shining . 280616n.,toh the sun does keep shining . 282868n.,.
121,4,twhat you doing round here ?  334718n,twhat are you doing round here ?  337293n,False,auxiliary,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,twhat you doing round here ? 334718n.,twhat are you doing round here ? 337293n.,.
122,5,tsit now .  340058n,tIs's sitting in the window .  342310n,False,"subject, progressive",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,tsit now . 340058n.,tIs's sitting in the window . 342310n.,.
123,6,tlooking the dustbin wagon .  344591n,tis she looking for the dustbin wagon ?  348480n,False,"subject, auxiliary, preposition",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,tlooking the dustbin wagon . 344591n.,tis she looking for the dustbin wagon ? 348480n.,.
124,7,tmore please .  396537n,tmore chips please .  397407n,False,object,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,tmore please . 396537n.,tmore chips please . 397407n.,.
125,8,ta good boy .  434104n,the'd say you were a good boy .  436159n,False,"subject, verb",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,ta good boy . 434104n.,the'd say you were a good boy . 436159n.,.
126,9,tbeen doing xxx .  750210n,tbeen doing what ?  751603n,False,object,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,tbeen doing . 750210n.,tbeen doing what ? 751603n.,.
127,10,txxx Purdie .  753199n,tyou did what to Purdie ?  755301n,False,"subject, verb, preposition",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,Purdie . 753199n.,tyou did what to Purdie ? 755301n.,.
128,11,twhere Mummy gone ?  774727n,toh Mummy had gone to work hadn't she ?  777026n,False,auxiliary,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,twhere Mummy gone ? 774727n.,toh Mummy had gone to work hadn't she ? 777026n.,.
129,12,twhere Mummy gone ?  774727n,tdid you ask them where Mummy had gone ?  781089n,False,auxiliary,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,twhere Mummy gone ? 774727n.,tdid you ask them where Mummy had gone ? 781089n.,.
130,13,t&m piece piece of paper off .  883605n,ta piece of paper off .  886106n,False,determiner,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,t&m piece piece of paper off . 883605n.,ta piece of paper off . 886106n.,.
131,14,txxx off sausage .  904545n,tyou'd like me to take the sausage off for you .  906757n,False,"verb, determiner",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,off sausage . 904545n.,tyou'd like me to take the sausage off for you . 906757n.,.
132,15,telephant tidying up .  1023201n,telephant's tidying up .  1022319n,False,auxiliary,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,telephant tidying up . 1023201n.,telephant's tidying up . 1022319n.,.
133,16,tno tail .  1071730n,thas it not got a tail now ?  1074052n,False,"subject, verb, auxiliary",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,tno tail . 1071730n.,thas it not got a tail now ? 1074052n.,.
134,17,tgo asleep .  1096293n,tis it going to sleep ?  1097402n,False,"subject, auxiliary, progressive, preposition",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,tgo asleep . 1096293n.,tis it going to sleep ? 1097402n.,.
135,18,tpink and blue .  1129605n,twe were watching the pink and blue sky the other day weren't we ?  1133232n,False,"subject, verb",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,tpink and blue . 1129605n.,twe were watching the pink and blue sky the other day weren't we ? 1133232n.,.
136,19,ta little girl .  1199287n,tyou weren't a little girl .  1200178n,False,"subject, verb",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,ta little girl . 1199287n.,tyou weren't a little girl . 1200178n.,.
137,20,teat Mummy- chip .  1238522n,teat Mummy's chips .  1239195n,False,possessive,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,teat Mummy- chip . 1238522n.,teat Mummy's chips . 1239195n.,.
138,21,thold Mummy- fork .  1241931n,tyou want to hold Mummy's fork .  1243424n,False,"possessive, subject, auxiliary",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,thold Mummy- fork . 1241931n.,tyou want to hold Mummy's fork . 1243424n.,.
139,22,tfork eating .  1285730n,teating with the fork .  1287186n,False,"preposition, determiner",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,tfork eating . 1285730n.,teating with the fork . 1287186n.,.
140,23,twent outside .  1380101n,tit went  1380728n,False,subject,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,twent outside . 1380101n.,tit went 1380728n.,.
141,24,twent outside .  1380101n,tit went everywhere didn't it ?  1382554n,False,subject,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,twent outside . 1380101n.,tit went everywhere didn't it ? 1382554n.,.
142,25,twent outside .  1380101n,tit went up in the air .  1383796n,False,subject,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,twent outside . 1380101n.,tit went up in the air . 1383796n.,.
143,26,tsweep fork fork .  1413876n,tyou're sweeping up some crumbs with the fork are you ?  1417675n,False,"subject, preposition, determiner",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,tsweep fork fork . 1413876n.,tyou're sweeping up some crumbs with the fork are you ? 1417675n.,.
144,27,tdrop it .  1434050n,tdid you drop it ?  1435205n,False,subject,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,tdrop it . 1434050n.,tdid you drop it ? 1435205n.,.
145,28,tnot spill .  1450618n,"tit will spill , sweetheart .  1451876n",False,"subject, auxiliary",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,tnot spill . 1450618n.,"tit will spill, sweetheart . 1451876n.",.
146,29,tnot everywhere .  1456385n,tit will go everywhere .  1457604n,False,"subject, auxiliary",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,tnot everywhere . 1456385n.,tit will go everywhere . 1457604n.,.
147,30,thave a train .  1569285n,tyou want to play with your trains .  1570771n,False,"subject, auxiliary",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,thave a train . 1569285n.,tyou want to play with your trains . 1570771n.,.
148,31,tfunny shout .  1576613n,tit's a silly shout .  1579147n,False,"subject, verb",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,tfunny shout . 1576613n.,tit's a silly shout . 1579147n.,.
149,32,tgot big parcel here for you .  1590012n,tyou've got a big what for me ?  1591640n,False,"subject, determiner",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,tgot big parcel here for you . 1590012n.,tyou've got a big what for me ? 1591640n.,.
150,33,tbig parcel .  1592894n,ta big parcel .  1594472n,False,determiner,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,tbig parcel . 1592894n.,ta big parcel . 1594472n.,.
151,34,ta train .  1644180n,toh can you hear a train ?  1646734n,False,"subject, verb",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,ta train . 1644180n.,toh can you hear a train ? 1646734n.,.
152,35,twind rough .  1671319n,tthe wind's rough .  1672561n,False,"determiner, verb",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,twind rough . 1671319n.,tthe wind's rough . 1672561n.,.
153,36,tthe tree nice and smooth .  1689772n,tthe trees are nice and smooth .  1690747n,False,verb,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,tthe tree nice and smooth . 1689772n.,tthe trees are nice and smooth . 1690747n.,.
154,37,t&m Mummy roll it .  1736399n,twhat do you mean Mummy roll it ?  1741210n,True,,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,t&m Mummy roll it . 1736399n.,twhat do you mean Mummy roll it ? 1741210n.,.
155,38,torange go in .  1793528n,tthe orange'll go in the back of the train won't it ?  1796774n,False,"auxiliary, determiner",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,torange go in . 1793528n.,tthe orange'll go in the back of the train won't it ? 1796774n.,.
156,39,tvery cross now .  1888258n,twho's very cross ?  1889442n,False,subject,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,tvery cross now . 1888258n.,twho's very cross ? 1889442n.,.
157,40,tfat controller .  1891119n,tthe fat controller's very cross .  1893359n,False,"determiner, verb",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,tfat controller . 1891119n.,tthe fat controller's very cross . 1893359n.,.
158,41,twhat a@p brought ?  1912310n,twhat have I brought ?  1913796n,False,"auxiliary, subject",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,twhat brought ? 1912310n.,twhat have I brought ? 1913796n.,.
159,42,tprobably gone somewhere .  1935624n,tthey've probably gone somewhere .  1936906n,False,"subject, auxiliary",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,tprobably gone somewhere . 1935624n.,tthey've probably gone somewhere . 1936906n.,.
160,43,ta@p rolling it .  1958193n,tyou're rolling it .  1959168n,False,"subject, auxiliary",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,rolling it . 1958193n.,tyou're rolling it . 1959168n.,.
161,44,ta passenger .  1961330n,the makes a good passenger doesn't he ?  1967244n,False,"subject, verb",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,ta passenger . 1961330n.,the makes a good passenger doesn't he ? 1967244n.,.
162,45,teverybody sit down the train .  1999843n,teverybody sit down on the train .  2001826n,False,preposition,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,teverybody sit down the train . 1999843n.,teverybody sit down on the train . 2001826n.,.
163,46,tlot of mans .  2081935n,ttwo men .  2084470n,False,plural,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,tlot of mans . 2081935n.,ttwo men . 2084470n.,.
164,47,tgoing a@p MacDonalds .  2152312n,tit's going to MacDonalds .  2153880n,False,"subject, auxiliary, preposition",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,tgoing MacDonalds . 2152312n.,tit's going to MacDonalds . 2153880n.,.
165,48,tthe sun shine in my house .  2187906n,tthe sun shining in your house .  2189218n,False,progressive,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,tthe sun shine in my house . 2187906n.,tthe sun shining in your house . 2189218n.,.
166,49,tdrop my orange .  2340120n,tyou've dropped your orange .  2341768n,False,"subject, auxiliary, tense_aspect",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,tdrop my orange . 2340120n.,tyou've dropped your orange . 2341768n.,.
167,50,tgone no airport .  2432265n,tit has not gone to the airport .  2434733n,False,"subject, auxiliary, preposition, determiner",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,tgone no airport . 2432265n.,tit has not gone to the airport . 2434733n.,.
168,51,tmail train .  2473011n,tthe mail train .  2475315n,False,determiner,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,tmail train . 2473011n.,tthe mail train . 2475315n.,.
169,52,tnot fit in .  2477875n,twill it not fit in ?  2480226n,False,"subject, auxiliary",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,tnot fit in . 2477875n.,twill it not fit in ? 2480226n.,.
170,53,tdrop a stamp .  2559055n,tyou've dropped a stamp .  2561069n,False,"subject, auxiliary, tense_aspect",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,tdrop a stamp . 2559055n.,tyou've dropped a stamp . 2561069n.,.
171,54,tfell down .  2708964n,twhat fell down ?  2710398n,False,subject,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,tfell down . 2708964n.,twhat fell down ? 2710398n.,.
172,55,ta bit of stick .  2715792n,ta bit of stick fell down .  2717457n,False,verb,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,ta bit of stick . 2715792n.,ta bit of stick fell down . 2717457n.,.
173,56,tbeg your pardon .  2944427n,tI beg your pardon .  2945216n,False,subject,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,tbeg your pardon . 2944427n.,tI beg your pardon . 2945216n.,.
174,57,thold skin .  3040088n,thold the skin .  3042341n,False,determiner,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,thold skin . 3040088n.,thold the skin . 3042341n.,.
175,58,tbig mail train .  3067311n,toh it's the big mail train is it ?  3069029n,False,"subject, verb, determiner",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,tbig mail train . 3067311n.,toh it's the big mail train is it ? 3069029n.,.
176,59,twhat funny noise .  3134448n,twhat a funny noise .  3135540n,False,determiner,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,twhat funny noise . 3134448n.,twhat a funny noise . 3135540n.,.
177,60,twhat funny noise .  3199422n,tthat was a funny noise then .  3200676n,False,determiner,/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,twhat funny noise . 3199422n.,tthat was a funny noise then . 3200676n.,.
178,61,tnot think so .  3256140n,tyou don't think so .  3257266n,False,"subject, auxiliary",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,tnot think so . 3256140n.,tyou don't think so . 3257266n.,.
179,62,ta@p funny .  3316872n,tyou do look funny .  3318021n,False,"subject, verb",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,funny . 3316872n.,tyou do look funny . 3318021n.,.
180,63,teating mints .  3404374n,tyou were eating chocolates and eating mints .  3407782n,False,"subject, auxiliary",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,teating mints . 3404374n.,tyou were eating chocolates and eating mints . 3407782n.,.
181,64,ter not go out .  3477595n,tdo you not fancy going out ?  3479586n,False,"subject, auxiliary",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,ter not go out . 3477595n.,tdo you not fancy going out ? 3479586n.,.
182,65,tget down there .  3481084n,tyou want to get down .  3482783n,False,"subject, auxiliary",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,tget down there . 3481084n.,tyou want to get down . 3482783n.,.
183,66,tget down there .  3481084n,tI think you can get down .  3486928n,False,"subject, auxiliary",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-07-29.annotated.cex,thomas,tget down there . 3481084n.,tI think you can get down . 3486928n.,.
184,0,txxx sleeping .  58847n,toh are you sleeping after a very busy night ?  61819n,False,"subject, auxiliary",/home/mitja/PhD/childes-grammaticality/data/hiller_fernandez_2016/data/annotated_data/Thomas/Thomas-2-11-05.annotated.cex,thomas,sleeping . 58847n.,toh are you sleeping after a very busy night ? 61819n.,.
